Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
S-AUG30-1A,30-Aug-10,S,1+,S,NA,1.067,3.68,1.56,-24.69,-21.89,11.87,6.18,16.6,102.7,596,5,866,11
S-AUG30-1B,30-Aug-10,S,1+,S,NA,1.475,3.18,1.01,-24.69,-21.9,7.83,6.16,14.9,91.6,481,5,759,10
S-AUG30-1C,30-Aug-10,S,1+,S,NA,1.095,3.12,1.43,-24.98,-21.82,11.58,6.55,15.7,102.8,547,5,861,11
S-AUG30-1D,30-Aug-10,S,1+,S,NA,1.257,3.72,1.2,-25.28,-22.14,9.73,6.53,15.1,98.3,509,5,824,11
S-AUG30-1E,30-Aug-10,S,1+,S,NA,1.227,3.04,1.18,-24,-22.13,8.13,5.25,14.4,75.7,478,4,663,9
S-AUG31-1A,31-Aug-10,S,1+,S,NA,1,3.28,1.62,-25.47,-22.15,13.27,6.71,16.2,108.7,535,5,865,12
S-AUG31-1C,31-Aug-10,S,1+,S,NA,0.824,2.77,1.84,-25.23,-22.72,13.75,5.89,15.2,89.3,490,5,743,10
S-AUG31-1D,31-Aug-10,S,1+,S,NA,1.02,3.04,1.47,-25.34,-22.39,11.64,6.33,15,94.7,494,5,788,10
S-AUG31-1E,31-Aug-10,S,1+,S,NA,1.138,3.91,1.17,-25.44,-22.08,9.99,6.75,13.3,89.6,543,6,1048,15
M2-SEP02-2-6,02-Sep-10,M,2+,0-43,15.5,0.57,5.66,9.97,-21.29,-20.92,37.15,3.73,57,212,1504,22,1236,21
M2-SEP02-2-4,02-Sep-10,M,2+,0-43,21.6,0.87,6.09,10.21,-20.83,-20.3,39.76,3.89,89,346,2454,36,1982,33
M2-SEP02-2-5,02-Sep-10,M,2+,0-43,24.8,0.67,6.36,9.88,-20.82,-20.41,37.27,3.77,66,250,1763,26,1438,24
M2-AUG24-2-6,24-Aug-10,M,2+,0-43,26.6,0.99,6.07,9.75,-20.85,-20.1,40.14,4.12,97,397,2731,39,2315,38
M2-AUG24-2-5,24-Aug-10,M,2+,0-43,27,0.72,5.95,9.03,-20.86,-20.14,36.93,4.09,65,266,1802,26,1583,26
M2-AUG24-2-4,24-Aug-10,M,2+,0-43,30.1,0.61,5.86,9.37,-20.97,-20.37,37.05,3.96,57,226,1569,22,1354,22
M1-SEP02-2-8,02-Sep-10,M,2+,0-43,36.8,0.939,6.75,9.46,-21.14,-20.17,40.99,4.33,88.8,384.9,3520,50,2933,49
M1-AUG24-2-7,24-Aug-10,M,2+,0-43,37.68,0.958,6.53,10.32,-21.15,-20.33,43.16,4.18,98.9,413.4,3315,37,3197,45
M1-SEP02-2-9,02-Sep-10,M,2+,0-43,38.02,0.888,6.49,8.98,-21.21,-19.88,42.13,4.69,79.8,374.1,3172,45,2864,48
M1-AUG24-2-6,24-Aug-10,M,2+,0-43,38.39,0.825,6.74,10.57,-21.19,-20.3,44.96,4.26,87.2,370.9,2903,32,2888,41
M1-SEP02-2-7,02-Sep-10,M,2+,0-43,38.9,0.922,6.56,8.45,-21.12,-19.98,38.01,4.5,77.9,350.5,3075,44,2669,44
M1-SEP02-2-6,02-Sep-10,M,2+,0-43,39.24,0.896,6.49,7.49,-21.39,-19.7,37.84,5.05,67.1,339,2623,37,2583,43
M2-SEP02-2-3,02-Sep-10,M,2+,0-43,40.5,0.95,6.51,7.09,-21.36,-19.4,37.84,5.34,67,360,1866,27,2077,35
M1-SEP02-2-1,02-Sep-10,M,2+,0-43,40.53,0.853,6.56,7.32,-21.78,-19.95,38.1,5.21,62.4,325,2365,34,2426,41
M1-AUG24-2-2,24-Aug-10,M,2+,0-43,40.77,0.889,7.04,11.07,-20.8,-20.12,44.73,4.04,98.4,397.6,3358,37,3129,44
M1-AUG24-2-1,24-Aug-10,M,2+,0-43,40.82,0.765,6.86,9.62,-20.99,-20.2,40,4.16,73.6,306,2472,27,2442,33
M1-AUG24-2-9,24-Aug-10,M,2+,0-43,41.18,0.991,7.15,10.56,-21.01,-20.18,44.25,4.19,104.7,438.6,3493,39,3367,48
M1-AUG24-2-5,24-Aug-10,M,2+,0-43,41.54,0.84,6.84,11.3,-20.63,-20.06,44.33,3.92,94.9,372.4,3198,35,2915,41
M1-SEP02-2-10,02-Sep-10,M,2+,0-43,41.91,0.857,6.55,8.42,-21.17,-19.05,46.19,5.49,72.1,395.8,2839,40,3022,50
M1-AUG24-2-3,24-Aug-10,M,2+,0-43,42.7,0.875,6.89,10.53,-21.03,-20.24,43.65,4.15,91.9,381.1,3107,34,2994,42
M1-AUG24-2-4,24-Aug-10,M,2+,0-43,42.86,0.869,7.35,10.29,-21.08,-20.25,43.05,4.18,89.4,374.1,3001,33,2924,41
M1-SEP02-2-4,02-Sep-10,M,2+,43-67,43.21,0.896,6.72,7.72,-21.46,-19.75,39.28,5.09,69.2,351.9,2663,38,2645,45
M1-SEP02-2-2,02-Sep-10,M,2+,43-67,44.67,0.983,6.48,7.84,-21.4,-19.78,39.19,5,77,385.2,2980,43,2888,49
M1-AUG24-2-8,24-Aug-10,M,2+,43-67,45.49,1.001,6.95,9.4,-21.41,-20.13,43.65,4.64,94.1,437,3154,35,3369,48
M1-SEP02-2-3,02-Sep-10,M,2+,43-67,45.55,0.938,6.76,8.36,-20.82,-20.03,34.74,4.15,78.5,325.8,3053,44,2452,41
M2-AUG24-2-17,24-Aug-10,M,2+,43-67,52.5,0.74,6.56,8.94,-20.9,-19.72,40.64,4.54,66.2,300.7,2357,24,2525,33
M2-AUG24-2-19,24-Aug-10,M,2+,43-67,54.2,0.927,7,9.39,-21.34,-19.95,44.63,4.76,87,413.7,3147,32,3409,45
M2-AUG24-2-8,24-Aug-10,M,2+,43-67,56.5,0.732,5.62,10.05,-20.89,-20.01,42.65,4.24,73.5,312.2,2722,28,2675,35
M2-AUG24-2-4,24-Aug-10,M,2+,43-67,60,0.942,6.06,8.78,-21.07,-19.83,40.43,4.61,82.7,380.8,3070,32,3222,43
M2-AUG24-2-21,24-Aug-10,M,2+,43-67,60,0.879,6.73,8.8,-21.11,-20.11,38.34,4.36,77.3,337,2744,29,2795,37
M2-AUG24-2-3,24-Aug-10,M,2+,43-67,60.2,0.67,7.1,9.44,-21.07,-20.2,40.03,4.24,63,268,1773,25,1611,26
M2-AUG24-2-25,24-Aug-10,M,2+,43-67,61.4,0.956,6.2,8.82,-21.58,-20.24,41.45,4.7,84.3,396.3,2984,31,3241,43
M2-AUG24-2-24,24-Aug-10,M,2+,43-67,61.9,0.99,6.75,8.24,-22.04,-20.49,40.5,4.92,81.6,401,2894,30,3288,44
M2-SEP02-2-13,02-Sep-10,M,2+,43-67,62.76,0.932,7.25,7.09,-21.51,-19.59,37.5,5.29,66,349.5,2510,37,2602,44
M2-AUG24-2-22,24-Aug-10,M,2+,43-67,62.8,0.907,6.76,9.2,-21.62,-20.13,44.69,4.86,83.4,405.3,2978,31,3333,44
M2-AUG24-2-7,24-Aug-10,M,2+,43-67,62.9,0.859,6.17,8.39,-21.36,-19.6,43.05,5.13,72.1,369.8,2667,28,3139,42
M2-AUG24-2-14,24-Aug-10,M,2+,43-67,65.1,0.944,6.4,7.92,-21.33,-19.21,43.53,5.5,74.8,411,2681,28,3394,45
M2-AUG24-2-9,24-Aug-10,M,2+,43-67,65.5,0.823,6.38,7.55,-21.23,-19.83,35.98,4.77,62.1,296.2,2277,24,2542,33
M2-AUG24-2-6,24-Aug-10,M,2+,43-67,66,0.93,6.32,7.87,-21.1,-19.1,42.31,5.37,73.2,393.4,2708,28,3326,44
M2-AUG24-2-2,24-Aug-10,M,2+,43-67,66,1.32,6.63,7.73,-22.5,-19.88,46.37,6,102,612,2936,41,3488,58
M2-AUG24-2-15,24-Aug-10,M,2+,43-67,67,0.803,6.65,9.11,-21.23,-19.78,43.9,4.82,73.1,352.5,2626,27,2937,39
M2-SEP02-2-1,02-Sep-10,M,2+,43-67,67,1.42,7.06,10,-21.74,-20.23,48.82,4.88,142,693,4105,57,3866,66
M2-SEP02-2-10,02-Sep-10,M,2+,67+,67.15,0.936,7.24,7.02,-22.27,-19.82,40.88,5.83,65.7,382.6,2477,36,2842,49
M2-SEP02-2-2,02-Sep-10,M,2+,67+,67.5,0.69,8.14,7.44,-23.45,-19.76,52.67,7.08,51,363,1406,20,2111,35
M2-AUG24-2-20,24-Aug-10,M,2+,67+,67.7,0.954,6.65,8.19,-21.26,-19.93,38.38,4.69,78.1,366.2,2796,29,3040,40
M2-AUG24-2-5,24-Aug-10,M,2+,67+,68.2,0.904,6.42,8.59,-21.13,-19.41,43.77,5.1,77.6,395.7,2890,30,3342,45
M2-SEP02-2-14,02-Sep-10,M,2+,67+,68.82,0.939,6.68,7.15,-21.61,-19.9,36.36,5.09,67.1,341.4,2552,37,2543,43
M2-AUG24-2-23,24-Aug-10,M,2+,67+,69.6,0.798,6.7,8.52,-21.56,-19.97,42.29,4.96,68,337.5,2389,25,2796,37
M2-AUG24-2-10,24-Aug-10,M,2+,67+,70.6,0.955,6.53,8.67,-21.31,-19.66,43.46,5.01,82.8,415.1,3046,32,3472,47
M2-AUG24-2-11,24-Aug-10,M,2+,67+,71,0.774,6.92,8.67,-21.81,-19.92,45.67,5.27,67.1,353.4,2436,26,2970,40
M2-AUG24-2-18,24-Aug-10,M,2+,67+,71.1,0.866,6.48,8.81,-21.39,-19.85,43.27,4.91,76.3,374.7,2737,28,3111,41
M2-SEP02-2-8,02-Sep-10,M,2+,67+,73.38,1.236,6.85,5.31,-21.58,-19.86,27.04,5.09,65.6,334.2,2874,41,3036,50
M2-AUG24-2-3,24-Aug-10,M,2+,67+,75.4,0.871,6.36,7,-21.07,-18.35,42.66,6.09,61,371.6,2247,23,3145,42
M2-SEP02-2-6,02-Sep-10,M,2+,67+,75.88,0.949,7.15,6.9,-21.35,-19.73,34.42,4.99,65.5,326.7,2829,41,2948,49
M2-AUG24-2-1,24-Aug-10,M,2+,67+,76,0.97,6.64,6.97,-21.19,-19.3,36.67,5.26,68,356,1910,27,2092,34
M2-SEP02-2-3,02-Sep-10,M,2+,67+,76.12,0.972,6.76,14.22,-21.23,-19.57,71.52,5.03,138.2,695.2,5978,88,5841,105
